originator,state,upb,fico,ltv,dti,base_cdr,loan_count,cohort_id,gnn_risk_multiplier,gnn_adjusted_cdr
Apex Funding,AZ,9830257.76,714.05,74.14,37.8775,0.009947833333333333,40,0,1.418,0.0141
Apex Funding,CA,10492545.31,720.0975609756098,77.09512195121951,36.170731707317074,0.009340813008130082,41,1,1.445,0.0135
Apex Funding,FL,14768518.82,709.8135593220339,69.8135593220339,35.47796610169491,0.009994915254237288,59,2,1.391,0.0139
Apex Funding,GA,16621054.16,719.71875,74.4921875,36.1984375,0.00934453125,64,3,1.424,0.0133
Apex Funding,IL,10883433.49,716.1489361702128,75.34893617021277,35.282978723404256,0.009629078014184398,47,4,1.396,0.0134
Apex Funding,NC,11468896.86,714.3404255319149,75.26808510638298,35.03829787234042,0.009626737588652482,47,5,1.412,0.0136
Apex Funding,NY,14534630.1,721.7543859649123,74.88070175438597,33.50175438596491,0.00916578947368421,57,6,1.437,0.0132
Apex Funding,OH,9189587.24,701.3076923076923,72.96410256410256,34.51538461538461,0.01018820512820513,39,7,1.413,0.0144
Apex Funding,TX,11012305.61,720.1702127659574,74.23404255319149,37.95106382978724,0.009746382978723404,47,8,1.401,0.0137
Apex Funding,WA,13596183.01,712.051724137931,74.44310344827586,36.53103448275862,0.009912528735632184,58,9,1.446,0.0143
Coastal Mortgage Co,AZ,11279924.78,712.8958333333334,71.64166666666667,36.32083333333333,0.009366527777777777,48,10,1.235,0.0116
Coastal Mortgage Co,CA,11737679.31,711.0888888888888,73.81555555555555,36.26444444444444,0.009860074074074075,45,11,1.255,0.0124
Coastal Mortgage Co,FL,11870394.38,718.6739130434783,70.07391304347826,35.8304347826087,0.00906731884057971,46,12,1.215,0.011
Coastal Mortgage Co,GA,8674583.35,727.5277777777778,75.36111111111111,38.605555555555554,0.008859629629629629,36,13,1.24,0.011
Coastal Mortgage Co,IL,11954065.64,723.6170212765958,74.46170212765956,35.719148936170214,0.00923418439716312,47,14,1.219,0.0113
Coastal Mortgage Co,NC,10648629.0,698.8863636363636,73.49545454545455,36.35909090909091,0.010353560606060606,44,15,1.231,0.0127
Coastal Mortgage Co,NY,16053771.36,713.3333333333334,75.15166666666667,36.20666666666667,0.010023444444444444,60,16,1.249,0.0125
Coastal Mortgage Co,OH,14566837.16,709.438596491228,75.16315789473684,35.387719298245614,0.01014421052631579,57,17,1.231,0.0125
Coastal Mortgage Co,TX,12574012.54,719.5818181818182,72.75090909090909,36.57454545454545,0.009496666666666667,55,18,1.223,0.0116
Coastal Mortgage Co,WA,13957176.43,712.8392857142857,76.53750000000001,38.146428571428565,0.009758511904761905,56,19,1.256,0.0123
Highline Capital,AZ,12644305.88,716.3,73.486,35.786,0.009448866666666667,50,20,1.215,0.0115
Highline Capital,CA,10859094.19,722.0212765957447,74.5,35.90851063829788,0.009422695035460994,47,21,1.234,0.0116
Highline Capital,FL,11926565.99,708.24,72.47,35.29,0.010072600000000001,50,22,1.197,0.0121
Highline Capital,GA,11831117.62,706.8823529411765,73.47450980392156,34.23725490196078,0.010324313725490196,51,23,1.219,0.0126
Highline Capital,IL,12261670.49,707.6,73.926,35.734,0.009524933333333332,50,24,1.2,0.0114
Highline Capital,NC,11799976.65,723.3571428571429,74.89761904761905,35.25952380952381,0.009077539682539684,42,25,1.211,0.011
Highline Capital,NY,13351109.6,714.6896551724138,76.81724137931033,34.41206896551724,0.009473390804597703,58,26,1.228,0.0116
Highline Capital,OH,13078670.21,709.7407407407408,77.38888888888889,34.49629629629629,0.010312098765432098,54,27,1.211,0.0125
Highline Capital,TX,15429178.91,719.5,71.29677419354839,35.44193548387097,0.009253763440860215,62,28,1.203,0.0111
Highline Capital,WA,12982380.5,718.7241379310345,70.77586206896552,34.37413793103448,0.009345632183908046,58,29,1.235,0.0115
Meridian Home Loans,AZ,11173344.37,714.9574468085107,77.35531914893616,35.93617021276596,0.009991702127659575,47,30,1.62,0.0162
Meridian Home Loans,CA,10462043.56,702.2439024390244,76.27317073170731,36.0,0.010638861788617886,41,31,1.634,0.0174
Meridian Home Loans,FL,13825142.24,722.9830508474577,75.58305084745763,37.41694915254237,0.009757627118644068,59,32,1.593,0.0155
Meridian Home Loans,GA,13832564.87,716.7636363636364,71.6490909090909,36.25636363636364,0.009597272727272729,55,33,1.626,0.0156
Meridian Home Loans,IL,8741023.66,718.8157894736842,72.26315789473684,34.181578947368415,0.009048245614035088,38,34,1.599,0.0145
Meridian Home Loans,NC,13424531.41,720.8571428571429,73.90714285714286,37.058928571428574,0.009423035714285714,56,35,1.614,0.0152
Meridian Home Loans,NY,11683214.5,716.7254901960785,74.35098039215687,36.745098039215684,0.00955248366013072,51,36,1.633,0.0156
Meridian Home Loans,OH,10949463.46,711.1333333333333,72.39111111111112,36.986666666666665,0.010106518518518518,45,37,1.615,0.0163
Meridian Home Loans,TX,11166539.1,704.0,72.74782608695652,32.832608695652176,0.010041231884057972,46,38,1.603,0.0161
Meridian Home Loans,WA,11748608.43,733.2978723404256,75.46808510638297,37.01276595744681,0.009061276595744681,47,39,1.632,0.0148
